simulations,probability_estimate,variance,error
1000,0.0005597933,1.877102e-06,4.332553e-05
2000,0.0005493242,2.018677e-06,3.177008e-05
3000,0.0005353489,1.552266e-06,2.274691e-05
4000,0.0005284209,1.333541e-06,1.825884e-05
5000,0.00075993,0.0002324744,0.0002156267
6000,0.0007213343,0.0001939202,0.0001797777
7000,0.0006946612,0.000166608,0.0001542762
8000,0.000709085,0.0001516613,0.0001376868
9000,0.000690961,0.0001354169,0.0001226634
10000,0.0006818531000000001,0.0001222373,0.000110561
11000,0.0006693873999999999,0.0001113293,0.0001006024
12000,0.0006563295,0.0001021982,9.228499e-05
13000,0.000645225,9.442946e-05,8.522796e-05
14000,0.0006657942,9.403785e-05,8.195724e-05
15000,0.0006569316,8.783222e-05,7.652112e-05
16000,0.0006507371,8.256607e-05,7.183578e-05
17000,0.0006476872,7.804715e-05,6.775698e-05
18000,0.0006507126,7.456369e-05,6.436169e-05
19000,0.000656056,7.221798e-05,6.165182e-05
20000,0.0006491167,6.867983e-05,5.860027e-05
21000,0.000642684,6.543123e-05,5.581911e-05
22000,0.0006490976,6.474286e-05,5.424811e-05
23000,0.0006434897,6.196679e-05,5.190576e-05
24000,0.0006389284,5.943522e-05,4.976412e-05
25000,0.0006329992,5.707218e-05,4.777957e-05
26000,0.0006332378,5.564587e-05,4.626257e-05
27000,0.000639434,5.509698e-05,4.517332e-05
28000,0.0006360803,5.321159e-05,4.359374e-05
29000,0.0006360169,5.162613e-05,4.219255e-05
30000,0.0006330409,4.998468e-05,4.081857e-05
31000,0.0006367955000000001,4.987932e-05,4.011247e-05
32000,0.0006321887,4.832709e-05,3.886157e-05
33000,0.0006415469,5.251379e-05,3.989144e-05
34000,0.0006407782,5.121024e-05,3.880958e-05
35000,0.0006391779,4.993886e-05,3.777333e-05
36000,0.0006359008000000001,4.859316e-05,3.673976e-05
37000,0.0006322551,4.729174e-05,3.57513e-05
38000,0.0006300858,4.61171e-05,3.483688e-05
39000,0.000627977,4.496763e-05,3.395609e-05
40000,0.0006261741,4.386918e-05,3.311691e-05
41000,0.0006326603,4.646597e-05,3.366477e-05
42000,0.0006291946,4.536513e-05,3.286521e-05
43000,0.0006272846000000001,4.439996e-05,3.213343e-05
44000,0.0006267109,4.345683e-05,3.142698e-05
45000,0.000624526,4.254028e-05,3.074637e-05
46000,0.0006213865,4.161824e-05,3.007897e-05
47000,0.0006201657,4.076446e-05,2.945045e-05
48000,0.0006183986,3.992945e-05,2.884204e-05
