simulations,probability_estimate,variance,error,relative_error
10000,1.187845E-07,1.216284E-11,3.487527E-08,0.2936
20000,1.406828E-07,1.765607E-11,2.971201E-08,0.2112
30000,1.462168E-07,1.861326E-11,2.490867E-08,0.1704
40000,1.651693E-07,2.204853E-11,2.347793E-08,0.1421
50000,1.657539E-07,2.579928E-11,2.271532E-08,0.1370
60000,1.624736E-07,2.350055E-11,1.979080E-08,0.1218
70000,1.626331E-07,2.325999E-11,1.822870E-08,0.1121
80000,1.611736E-07,2.204266E-11,1.659920E-08,0.1030
90000,1.558796E-07,2.024707E-11,1.499892E-08,0.0962
100000,1.530119E-07,1.898909E-11,1.378009E-08,0.0901
110000,1.571465E-07,1.845165E-11,1.295153E-08,0.0824
120000,1.539235E-07,1.783886E-11,1.219250E-08,0.0792
130000,1.621597E-07,2.400534E-11,1.358884E-08,0.0838
140000,1.576560E-07,2.258193E-11,1.270037E-08,0.0806
150000,1.579261E-07,2.218243E-11,1.216071E-08,0.0770
160000,1.573025E-07,2.143884E-11,1.157552E-08,0.0736
170000,1.555273E-07,2.053203E-11,1.098984E-08,0.0707
180000,1.570816E-07,2.032505E-11,1.062624E-08,0.0676
190000,1.559705E-07,1.957598E-11,1.015044E-08,0.0651
200000,1.541211E-07,1.895206E-11,9.734491E-09,0.0632
210000,1.535760E-07,1.848087E-11,9.381051E-09,0.0611
220000,1.541084E-07,1.819392E-11,9.093935E-09,0.0590
230000,1.555985E-07,1.810178E-11,8.871493E-09,0.0570
240000,1.546348E-07,1.784393E-11,8.622628E-09,0.0558
250000,1.564537E-07,1.852915E-11,8.609101E-09,0.0550
260000,1.582614E-07,1.898457E-11,8.545033E-09,0.0540
270000,1.563708E-07,1.849434E-11,8.276325E-09,0.0529
280000,1.540621E-07,1.793415E-11,8.003158E-09,0.0519
290000,1.521241E-07,1.739222E-11,7.744234E-09,0.0509
300000,1.520644E-07,1.704666E-11,7.538050E-09,0.0496
