simulations,probability_estimate,variance,error
1000,9.113738E-08,3.221998E-13,1.794993E-08
2000,9.428473E-08,3.386943E-13,1.301334E-08
3000,1.416489E-07,4.088996E-12,3.691881E-08
4000,1.395734E-07,3.365315E-12,2.900567E-08
5000,1.269928E-07,2.709488E-12,2.327870E-08
6000,1.177041E-07,2.280496E-12,1.949571E-08
7000,1.447806E-07,7.815643E-12,3.341437E-08
8000,1.375759E-07,6.921114E-12,2.941325E-08
9000,1.296385E-07,6.157347E-12,2.615625E-08
10000,1.305455E-07,5.664353E-12,2.379990E-08
11000,1.302457E-07,5.239170E-12,2.182403E-08
12000,1.262159E-07,4.818472E-12,2.003845E-08
13000,1.263682E-07,4.540888E-12,1.868955E-08
14000,1.264787E-07,4.439232E-12,1.780696E-08
15000,1.240855E-07,4.153066E-12,1.663944E-08
16000,1.218743E-07,3.919187E-12,1.565085E-08
17000,1.294429E-07,5.519890E-12,1.801942E-08
18000,1.259394E-07,5.215463E-12,1.702198E-08
19000,1.239637E-07,4.948080E-12,1.613770E-08
20000,1.249735E-07,4.838546E-12,1.555401E-08
21000,1.224259E-07,4.614332E-12,1.482330E-08
22000,1.211097E-07,4.419752E-12,1.417384E-08
23000,1.201838E-07,4.255375E-12,1.360207E-08
24000,1.192081E-07,4.148817E-12,1.314790E-08
25000,1.224751E-07,4.353790E-12,1.319665E-08
26000,1.222653E-07,4.257738E-12,1.279684E-08
27000,1.213835E-07,4.126719E-12,1.236291E-08
28000,1.208998E-07,3.998353E-12,1.194983E-08
29000,1.218510E-07,3.908624E-12,1.160949E-08
30000,1.219203E-07,3.819114E-12,1.128290E-08
31000,1.213957E-07,3.722134E-12,1.095759E-08
32000,1.195355E-07,3.607468E-12,1.061760E-08
33000,1.184486E-07,3.502914E-12,1.030286E-08
34000,1.210769E-07,3.611858E-12,1.030685E-08
35000,1.222943E-07,3.751180E-12,1.035261E-08
36000,3.032393E-07,1.137865E-09,1.777846E-07
37000,2.974359E-07,1.107121E-09,1.729804E-07
38000,2.929463E-07,1.078038E-09,1.684322E-07
39000,2.876490E-07,1.050404E-09,1.641141E-07
40000,2.825158E-07,1.024148E-09,1.600115E-07
41000,2.784631E-07,9.991815E-10,1.561098E-07
42000,2.736910E-07,9.754015E-10,1.523937E-07
43000,2.709477E-07,9.528412E-10,1.488593E-07
44000,2.671177E-07,9.311975E-10,1.454771E-07
45000,2.627689E-07,9.105064E-10,1.422444E-07
46000,2.792109E-07,9.098574E-10,1.406396E-07
47000,2.754421E-07,8.905087E-10,1.376481E-07
48000,2.719287E-07,8.719740E-10,1.347818E-07
49000,2.679023E-07,8.541811E-10,1.320313E-07
50000,2.738922E-07,8.393102E-10,1.295616E-07
51000,2.699043E-07,8.228551E-10,1.270213E-07
52000,2.657094E-07,8.070321E-10,1.245787E-07
53000,2.623118E-07,7.918147E-10,1.222289E-07
54000,2.608441E-07,7.772781E-10,1.199752E-07
55000,2.586334E-07,7.632190E-10,1.177994E-07
56000,2.565520E-07,7.496261E-10,1.156987E-07
57000,2.585118E-07,7.370745E-10,1.137151E-07
58000,2.569276E-07,7.244299E-10,1.117594E-07
59000,2.537295E-07,7.121528E-10,1.098653E-07
60000,2.519902E-07,7.003503E-10,1.080394E-07
61000,2.621005E-07,6.971636E-10,1.069061E-07
62000,2.598129E-07,6.859424E-10,1.051836E-07
63000,2.570712E-07,6.750582E-10,1.035143E-07
64000,2.545594E-07,6.645256E-10,1.018980E-07
65000,2.524873E-07,6.543273E-10,1.003323E-07
66000,2.499047E-07,6.444155E-10,9.881230E-08
67000,2.471618E-07,6.347989E-10,9.733761E-08
68000,2.451534E-07,6.254931E-10,9.590844E-08
69000,2.430627E-07,6.164339E-10,9.451891E-08
70000,2.409257E-07,6.076390E-10,9.316951E-08
71000,2.391949E-07,5.991067E-10,9.185925E-08
72000,2.369994E-07,5.907913E-10,9.058386E-08
73000,2.386074E-07,5.834588E-10,8.940126E-08
