simulations,probability_estimate,variance,error,relative_error
10000,3.391118E-07,4.203644E-10,2.050279E-07,0.6046
20000,2.858878E-07,2.558141E-10,1.130960E-07,0.3956
30000,2.367527E-07,1.892467E-10,7.942433E-08,0.3355
40000,3.311070E-07,3.290240E-10,9.069510E-08,0.2739
50000,3.229099E-07,2.850850E-10,7.550961E-08,0.2338
60000,3.730971E-07,4.883288E-10,9.021538E-08,0.2418
70000,3.282459E-07,4.195106E-10,7.741452E-08,0.2358
80000,4.777456E-07,1.661742E-09,1.441242E-07,0.3017
90000,4.425402E-07,1.483957E-09,1.284072E-07,0.2902
100000,4.218899E-07,1.344616E-09,1.159576E-07,0.2749
110000,3.936561E-07,1.225294E-09,1.055416E-07,0.2681
120000,3.631144E-07,1.123355E-09,9.675376E-08,0.2665
130000,3.460374E-07,1.038558E-09,8.938070E-08,0.2583
140000,3.395594E-07,9.711993E-10,8.328948E-08,0.2453
150000,3.208807E-07,9.073786E-10,7.777654E-08,0.2424
160000,3.194907E-07,8.688521E-10,7.369074E-08,0.2307
170000,3.237034E-07,8.324144E-10,6.997539E-08,0.2162
180000,3.093010E-07,7.869410E-10,6.612030E-08,0.2138
190000,3.057153E-07,7.513938E-10,6.288644E-08,0.2057
200000,3.184134E-07,7.483610E-10,6.117030E-08,0.1921
210000,3.051047E-07,7.128960E-10,5.826442E-08,0.1910
220000,2.990602E-07,6.859413E-10,5.583829E-08,0.1867
230000,3.032480E-07,6.693645E-10,5.394702E-08,0.1779
240000,3.031119E-07,6.561062E-10,5.228552E-08,0.1725
250000,2.959070E-07,6.311461E-10,5.024524E-08,0.1698
260000,2.907326E-07,6.110115E-10,4.847725E-08,0.1667
270000,2.932872E-07,6.074367E-10,4.743170E-08,0.1617
280000,2.930466E-07,5.932634E-10,4.603040E-08,0.1571
290000,2.869429E-07,5.737289E-10,4.447893E-08,0.1550
300000,3.000550E-07,6.287860E-10,4.578158E-08,0.1526
310000,3.015764E-07,6.173305E-10,4.462498E-08,0.1480
320000,3.025885E-07,6.079266E-10,4.358636E-08,0.1440
330000,3.057446E-07,6.010440E-10,4.267722E-08,0.1396
340000,3.010771E-07,5.849403E-10,4.147786E-08,0.1378
350000,2.990139E-07,5.705894E-10,4.037642E-08,0.1350
360000,2.946241E-07,5.561463E-10,3.930459E-08,0.1334
370000,2.929653E-07,5.448217E-10,3.837305E-08,0.1310
380000,2.886656E-07,5.316197E-10,3.740320E-08,0.1296
390000,2.849121E-07,5.187419E-10,3.647064E-08,0.1280
400000,2.842081E-07,5.122581E-10,3.578610E-08,0.1259
410000,2.852767E-07,5.049781E-10,3.509493E-08,0.1230
420000,2.837098E-07,4.965918E-10,3.438548E-08,0.1212
430000,2.789930E-07,4.854058E-10,3.359837E-08,0.1204
440000,2.767908E-07,4.769669E-10,3.292439E-08,0.1190
450000,2.723665E-07,4.673205E-10,3.222561E-08,0.1183
460000,2.712554E-07,4.626269E-10,3.171294E-08,0.1169
470000,2.682233E-07,4.535378E-10,3.106403E-08,0.1158
480000,2.674857E-07,4.457300E-10,3.047301E-08,0.1139
490000,2.679122E-07,4.390326E-10,2.993301E-08,0.1117
500000,2.730056E-07,4.694230E-10,3.064059E-08,0.1122
510000,2.751553E-07,4.658480E-10,3.022296E-08,0.1098
520000,2.736246E-07,4.581667E-10,2.968316E-08,0.1085
530000,2.753842E-07,4.553244E-10,2.931045E-08,0.1064
540000,2.735868E-07,4.481539E-10,2.880824E-08,0.1053
550000,2.711810E-07,4.407122E-10,2.830715E-08,0.1044
560000,2.678755E-07,4.331681E-10,2.781213E-08,0.1038
570000,2.677744E-07,4.276664E-10,2.739146E-08,0.1023
580000,2.646056E-07,4.204897E-10,2.692550E-08,0.1018
590000,2.619345E-07,4.137411E-10,2.648124E-08,0.1011
600000,2.595774E-07,4.072415E-10,2.605256E-08,0.1004
610000,2.625225E-07,4.089255E-10,2.589150E-08,0.0986
620000,2.610144E-07,4.033759E-10,2.550698E-08,0.0977
630000,2.582493E-07,3.972421E-10,2.511061E-08,0.0972
640000,2.589955E-07,3.943163E-10,2.482175E-08,0.0958
650000,2.592634E-07,3.909100E-10,2.452346E-08,0.0946
660000,2.582362E-07,3.861893E-10,2.418957E-08,0.0937
670000,2.573846E-07,3.836451E-10,2.392916E-08,0.0930
680000,2.548718E-07,3.781766E-10,2.358266E-08,0.0925
690000,2.533648E-07,3.733057E-10,2.325990E-08,0.0918
700000,2.566536E-07,3.735849E-10,2.310179E-08,0.0900
