simulations,probability_estimate,variance,error
1000,3.020111E-08,1.243177E-12,3.525872E-08
2000,1.457776E-08,8.777913E-13,2.094984E-08
3000,2.489600E-10,6.000724E-13,1.414299E-08
4000,6.202523E-08,1.398415E-11,5.912730E-08
5000,9.919450E-08,1.572266E-11,5.607613E-08
6000,8.848590E-08,1.369959E-11,4.778352E-08
7000,7.348810E-08,1.179270E-11,4.104476E-08
8000,6.291395E-08,1.039070E-11,3.603939E-08
9000,1.030974E-07,1.792599E-11,4.462933E-08
10000,8.928770E-08,1.613511E-11,4.016853E-08
11000,7.949700E-08,1.469423E-11,3.654914E-08
12000,8.524220E-08,1.459099E-11,3.486998E-08
13000,7.891410E-08,1.352557E-11,3.225567E-08
14000,7.532590E-08,1.271212E-11,3.013319E-08
15000,6.797090E-08,1.186541E-11,2.812520E-08
16000,6.153519E-08,1.112444E-11,2.636812E-08
17000,7.745720E-08,1.330674E-11,2.797766E-08
18000,7.516840E-08,1.268740E-11,2.654912E-08
19000,7.395400E-08,1.217434E-11,2.531313E-08
20000,7.203450E-08,1.167729E-11,2.416329E-08
21000,8.441840E-08,1.631059E-11,2.786924E-08
22000,1.039406E-07,2.157251E-11,3.131403E-08
23000,1.234827E-07,2.781982E-11,3.477869E-08
24000,1.312547E-07,2.964780E-11,3.514719E-08
25000,1.272319E-07,2.855065E-11,3.379387E-08
26000,1.282069E-07,2.832494E-11,3.300637E-08
27000,1.285185E-07,2.763521E-11,3.199260E-08
28000,1.228375E-07,2.664981E-11,3.085092E-08
29000,1.190757E-07,2.576172E-11,2.980495E-08
30000,1.238182E-07,2.663370E-11,2.979581E-08
31000,1.220845E-07,2.613043E-11,2.903304E-08
32000,1.281144E-07,2.792268E-11,2.953953E-08
33000,1.270008E-07,2.733388E-11,2.878019E-08
34000,1.259702E-07,2.672186E-11,2.803457E-08
35000,1.223763E-07,2.596970E-11,2.723952E-08
36000,1.214165E-07,2.549950E-11,2.661427E-08
37000,1.196089E-07,2.499242E-11,2.598982E-08
38000,1.186280E-07,2.453956E-11,2.541216E-08
39000,1.193902E-07,2.467952E-11,2.515568E-08
40000,1.489288E-07,6.711455E-11,4.096173E-08
41000,1.613694E-07,7.529069E-11,4.285275E-08
42000,1.679894E-07,7.581994E-11,4.248808E-08
43000,1.680764E-07,7.504958E-11,4.177725E-08
44000,1.670697E-07,7.365248E-11,4.091357E-08
45000,1.630226E-07,7.202204E-11,4.000612E-08
46000,1.628389E-07,7.104313E-11,3.929906E-08
47000,1.650027E-07,7.092632E-11,3.884676E-08
48000,1.754784E-07,7.620025E-11,3.984351E-08
49000,1.712710E-07,7.464637E-11,3.903070E-08
50000,1.744401E-07,7.417154E-11,3.851533E-08
51000,1.709786E-07,7.272777E-11,3.776287E-08
52000,1.673532E-07,7.133568E-11,3.703836E-08
53000,1.635352E-07,6.999048E-11,3.633972E-08
54000,1.634766E-07,6.894453E-11,3.573165E-08
55000,1.600015E-07,6.769262E-11,3.508240E-08
56000,1.567656E-07,6.648622E-11,3.445655E-08
57000,1.534013E-07,6.532043E-11,3.385221E-08
58000,1.529951E-07,6.437797E-11,3.331614E-08
59000,1.527322E-07,6.379056E-11,3.288154E-08
60000,1.500917E-07,6.273506E-11,3.233550E-08
61000,1.470574E-07,6.170717E-11,3.180555E-08
62000,1.584942E-07,6.822609E-11,3.317259E-08
63000,1.558429E-07,6.714942E-11,3.264757E-08
64000,1.827499E-07,1.066854E-10,4.082841E-08
65000,1.809201E-07,1.051388E-10,4.021840E-08
66000,1.808262E-07,1.038187E-10,3.966121E-08
67000,1.776618E-07,1.022701E-10,3.906942E-08
68000,1.836032E-07,1.060491E-10,3.949108E-08
69000,1.804351E-07,1.045128E-10,3.891888E-08
70000,1.796842E-07,1.033670E-10,3.842748E-08
71000,1.795241E-07,1.021184E-10,3.792476E-08
72000,1.765446E-07,1.007007E-10,3.739814E-08
73000,1.777725E-07,9.988478E-11,3.699033E-08
74000,1.938546E-07,1.250664E-10,4.111066E-08
75000,1.943270E-07,1.237030E-10,4.061249E-08
76000,1.969800E-07,1.242913E-10,4.044023E-08
77000,1.967160E-07,1.231616E-10,3.999376E-08
78000,1.946424E-07,1.216274E-10,3.948830E-08
79000,1.917355E-07,1.200885E-10,3.898856E-08
80000,2.002165E-07,1.246484E-10,3.947285E-08
