simulations,probability_estimate,variance,error
1000,5.580760E-07,2.867309E-11,1.693313E-07
2000,6.207946E-07,1.006541E-10,2.243369E-07
3000,5.052909E-07,6.853409E-11,1.511446E-07
4000,4.271630E-07,5.198463E-11,1.140007E-07
5000,4.658530E-07,5.270623E-11,1.026706E-07
6000,5.277199E-07,1.061676E-10,1.330210E-07
7000,1.243503E-06,3.185085E-09,6.745458E-07
8000,1.346774E-06,3.252188E-09,6.375919E-07
9000,1.241257E-06,2.894203E-09,5.670786E-07
10000,1.166460E-06,2.614543E-09,5.113261E-07
11000,1.098141E-06,2.378725E-09,4.650245E-07
12000,1.041662E-06,2.182719E-09,4.264894E-07
13000,1.016143E-06,2.022382E-09,3.944209E-07
14000,9.768866E-07,1.879124E-09,3.663648E-07
15000,9.273716E-07,1.754230E-09,3.419775E-07
16000,8.950819E-07,1.647267E-09,3.208648E-07
17000,8.527371E-07,1.550587E-09,3.020116E-07
18000,8.155387E-07,1.464928E-09,2.852803E-07
19000,8.080947E-07,1.395317E-09,2.709939E-07
20000,7.874028E-07,1.326378E-09,2.575245E-07
21000,7.633290E-07,1.263587E-09,2.452974E-07
22000,7.453521E-07,1.206710E-09,2.342017E-07
23000,7.241287E-07,1.154453E-09,2.240393E-07
24000,7.123709E-07,1.109011E-09,2.149623E-07
25000,6.904966E-07,1.064747E-09,2.063731E-07
26000,6.681545E-07,1.023828E-09,1.984389E-07
27000,6.496608E-07,9.859779E-10,1.910961E-07
28000,6.849350E-07,1.023259E-09,1.911674E-07
29000,8.557787E-07,1.481396E-09,2.260147E-07
30000,8.756066E-07,1.460648E-09,2.206542E-07
31000,9.295630E-07,1.484162E-09,2.188063E-07
32000,9.071532E-07,1.437996E-09,2.119844E-07
33000,8.869303E-07,1.394543E-09,2.055696E-07
34000,8.701967E-07,1.353794E-09,1.995432E-07
35000,8.836389E-07,1.332217E-09,1.950983E-07
36000,8.731910E-07,1.296286E-09,1.897576E-07
37000,8.666965E-07,1.262974E-09,1.847550E-07
38000,8.706886E-07,1.239567E-09,1.806106E-07
39000,8.559114E-07,1.208167E-09,1.760075E-07
40000,8.410964E-07,1.178141E-09,1.716203E-07
41000,8.366073E-07,1.155824E-09,1.679012E-07
42000,8.577432E-07,1.186822E-09,1.681002E-07
43000,8.524559E-07,1.164925E-09,1.645943E-07
44000,8.431888E-07,1.139314E-09,1.609146E-07
45000,8.281434E-07,1.114085E-09,1.573450E-07
46000,8.184179E-07,1.091247E-09,1.540219E-07
47000,8.042883E-07,1.068077E-09,1.507483E-07
48000,7.891646E-07,1.045847E-09,1.476092E-07
49000,7.809490E-07,1.024924E-09,1.446265E-07
50000,7.729984E-07,1.004724E-09,1.417550E-07
51000,7.745468E-07,9.881340E-10,1.391947E-07
52000,7.674767E-07,9.706069E-10,1.366218E-07
53000,7.612427E-07,9.538174E-10,1.341512E-07
54000,7.741523E-07,9.466071E-10,1.324000E-07
55000,7.646331E-07,9.295219E-10,1.300015E-07
56000,7.593054E-07,9.146166E-10,1.277984E-07
57000,7.502061E-07,8.986497E-10,1.255619E-07
58000,7.604780E-07,8.996623E-10,1.245448E-07
59000,7.561327E-07,8.857868E-10,1.225289E-07
60000,7.809268E-07,9.107654E-10,1.232048E-07
61000,7.717759E-07,8.959155E-10,1.211905E-07
62000,7.752693E-07,8.867864E-10,1.195952E-07
63000,7.789307E-07,8.803511E-10,1.182109E-07
64000,7.737370E-07,8.668095E-10,1.163783E-07
65000,7.719235E-07,8.546032E-10,1.146636E-07
66000,7.682977E-07,8.422898E-10,1.129689E-07
