simulations,probability_estimate,variance,error,relative_error
10000,1.561803E-06,1.220367E-09,3.493376E-07,0.2237
20000,1.577059E-06,1.072809E-09,2.316041E-07,0.1469
30000,1.804140E-06,1.913722E-09,2.525683E-07,0.1400
40000,1.782526E-06,1.888365E-09,2.172766E-07,0.1219
50000,1.802183E-06,2.616136E-09,2.287416E-07,0.1269
60000,1.911667E-06,2.591735E-09,2.078355E-07,0.1087
70000,1.815305E-06,2.342678E-09,1.829394E-07,0.1008
80000,1.806791E-06,2.268265E-09,1.683844E-07,0.0932
90000,1.772626E-06,2.149878E-09,1.545559E-07,0.0872
100000,1.808831E-06,2.082005E-09,1.442916E-07,0.0798
110000,1.796431E-06,2.004263E-09,1.349836E-07,0.0751
120000,1.803462E-06,2.214838E-09,1.358565E-07,0.0753
130000,1.854845E-06,2.421021E-09,1.364670E-07,0.0736
140000,1.801113E-06,2.322961E-09,1.288122E-07,0.0715
150000,1.824742E-06,2.317510E-09,1.242983E-07,0.0681
160000,1.819791E-06,2.337251E-09,1.208628E-07,0.0664
170000,1.805338E-06,2.284733E-09,1.159293E-07,0.0642
180000,1.780324E-06,2.207334E-09,1.107383E-07,0.0622
190000,1.788607E-06,2.195212E-09,1.074884E-07,0.0601
200000,1.772416E-06,2.149695E-09,1.036749E-07,0.0585
210000,1.770037E-06,2.166308E-09,1.015665E-07,0.0574
220000,1.759374E-06,2.132104E-09,9.844483E-08,0.0560
230000,1.746219E-06,2.087693E-09,9.527291E-08,0.0546
240000,1.764313E-06,2.085807E-09,9.322480E-08,0.0528
250000,1.786428E-06,2.156151E-09,9.286874E-08,0.0520
260000,1.757787E-06,2.094735E-09,8.975896E-08,0.0511
270000,1.750721E-06,2.065565E-09,8.746565E-08,0.0500
280000,1.727785E-06,2.010544E-09,8.473792E-08,0.0490
290000,1.728802E-06,2.005522E-09,8.316005E-08,0.0481
300000,1.718793E-06,1.995355E-09,8.155479E-08,0.0474
